model;outcome;spec;term;coefficient;effect_IRR;standard_error;confidence_interval;ci_low_IRR;ci_high_IRR;p_value;n_observations;interpretation
ITS-Poisson;[K] Платная дорога;JUN;time_after;0.05392;1.0554;0.00699;"[1.041; 1.070]";1.041;1.07;0.0;122;изменение тренда, IRR=1.055
ITS-Poisson;[K] Световые приборы;JUN;post;-0.24783;0.7805;0.28384;"[0.447; 1.361]";0.4475;1.3614;0.38258;122;скачок уровня, IRR=0.780
ITS-Poisson;[K] Световые приборы;JUN;time_after;-0.02505;0.9753;0.00901;"[0.958; 0.993]";0.9582;0.9926;0.00544;122;изменение тренда, IRR=0.975
ITS-Poisson;Все нарушения;JUN;post;-0.08479;0.9187;0.03513;"[0.858; 0.984]";0.8576;0.9842;0.01581;122;скачок уровня, IRR=0.919
ITS-Poisson;Все нарушения;JUN;time_after;-0.00996;0.9901;0.00167;"[0.987; 0.993]";0.9869;0.9933;0.0;122;изменение тренда, IRR=0.990
ITS-Poisson + offset;COMPOSITE-6 (гипотеза);MAY;post;0.48643;1.6265;0.17884;"[1.146; 2.309]";1.1456;2.3093;0.00653;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Манёвренные-5 (без телефона);MAY;post;0.52576;1.6917;0.19572;"[1.153; 2.483]";1.1528;2.4827;0.00722;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Нарушение разметки;MAY;post;1.09462;2.988;0.37663;"[1.428; 6.251]";1.4282;6.2514;0.00366;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Остановка/стоянка в неположенном месте;MAY;post;-0.39023;0.6769;0.29939;"[0.376; 1.217]";0.3764;1.2172;0.19244;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Пересечение стоп-линии;MAY;post;0.44531;1.561;0.15296;"[1.157; 2.107]";1.1566;2.1067;0.0036;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Движение по обочине;MAY;post;0.19365;1.2137;0.53181;"[0.428; 3.442]";0.428;3.4418;0.71575;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Движение по выделенной полосе;MAY;post;0.47589;1.6094;0.188;"[1.113; 2.326]";1.1134;2.3265;0.01136;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Телефон за рулём;MAY;post;0.28548;1.3304;0.15021;"[0.991; 1.786]";0.9911;1.7858;0.05736;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;COMPOSITE-6 (гипотеза);JUN;post;0.02569;1.026;0.07592;"[0.884; 1.191]";0.8842;1.1906;0.73503;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Манёвренные-5 (без телефона);JUN;post;0.02527;1.0256;0.08253;"[0.872; 1.206]";0.8724;1.2057;0.75951;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Нарушение разметки;JUN;post;0.19897;1.2201;0.14732;"[0.914; 1.629]";0.9141;1.6286;0.17681;122;изменение ДОЛИ относительно прочих штрафов
ITS-Poisson + offset;Остановка/стоянка в неположенном месте;JUN;post;0.16808;1.183;0.14056;"[0.898; 1.558]";0.8981;1.5583;0.2318;122;изменение ДОЛИ относительно прочих штрафов
